id,name,price,image,description,published_date,category_id
14,BẠC XỈU ĐÁ,29000,images/products/HLC_New_logo_5.1_Products__BAC_XIU.jpg,"Nếu Phin Sữa Đá dành cho các bạn đam mê vị đậm đà, thì Bạc Xỉu Đá là một sự lựa chọn nhẹ “đô"" cà phê nhưng vẫn thơm ngon, chất lừ không kém!",2024-12-02 15:05:43.066442,1
15,CARAMEL MACCHIATO,69000,images/products/HLC_New_logo_5.1_Products__CARAMEL_MACCHIATTO.jpg,"Thỏa mãn cơn thèm ngọt! Ly cà phê Caramel Macchiato bắt đầu từ dòng sữa tươi và lớp bọt sữa béo ngậy, sau đó hòa quyện cùng cà phê espresso đậm đà và sốt caramel ngọt ngào. Thông qua bàn tay điêu luyện của các chuyên gia pha chế, mọi thứ hoàn toàn được nâng tầm thành nghệ thuật! Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",2024-12-02 15:05:43.066442,1
16,COLD BREW ĐÀO,79000,images/products/Cold_Brew_Peach.jpg,,2024-12-02 15:05:43.066442,1
17,COLD BREW,69000,images/products/Cold_Brew.jpg,,2024-12-02 15:05:43.066442,1
18,PHINDI CASSIA,69000,images/products/PhinDi_Cassia.jpg,,2024-12-02 15:05:43.066442,1
19,BẠC XỈU CULI,55000,images/products/Bac_Xiu.jpg,,2024-12-02 15:05:43.066442,1
20,PHIN CULI SỮA ĐÁ,55000,images/products/Phin_Sua_Da.jpg,,2024-12-02 15:05:43.066442,1
21,PHIN CULI ĐEN ĐÁ,49000,images/products/Phin_Den_Da.jpg,,2024-12-02 15:05:43.066442,1
22,CITRUS COFFEE DETONIC,72090,images/products/Citrus_Cafe_De_Tonic.jpg,,2024-12-02 15:05:43.066442,1
23,COLD BREW MILK FOAM,79000,images/products/Cold_Brew_Milk_Foam.jpg,,2024-12-02 15:05:43.066442,1
24,FREEZE SÔ-CÔ-LA,55000,images/products/HLC_New_logo_5.1_Products__FREEZE_CHOCO.jpg,"Thiên đường đá xay sô cô la! Từ những thanh sô cô la Việt Nam chất lượng được đem xay với đá cho đến khi mềm mịn, sau đó thêm vào thạch sô cô la dai giòn, ở trên được phủ một lớp kem whip beo béo và sốt sô cô la ngọt ngào. Tạo thành Freeze Sô-cô-la ngon mê mẩn chinh phục bất kì ai!",2024-12-02 15:05:43.066442,2
25,COOKIES & CREAM,55000,images/products/HLC_New_logo_5.1_Products__COOKIES_FREEZE.jpg,"Một thức uống ngon lạ miệng bởi sự kết hợp hoàn hảo giữa cookies sô cô la giòn xốp cùng hỗn hợp sữa tươi cùng sữa đặc đem say với đá viên, và cuối cùng không thể thiếu được chính là lớp kem whip mềm mịn cùng cookies sô cô la say nhuyễn.",2024-12-02 15:05:43.066442,2
26,CARAMEL PHIN FREEZE,55000,images/products/HLC_New_logo_5.1_Products__CARAMEL_FREEZE_PHINDI.jpg,"Thơm ngon khó cưỡng! Được kết hợp từ cà phê truyền thống chỉ có tại Highlands Coffee, cùng với caramel, thạch cà phê và đá xay mát lạnh. Trên cùng là lớp kem tươi thơm béo và caramel ngọt ngào. Món nước phù hợp trong những cuộc gặp gỡ bạn bè, bởi sự ngọt ngào thường mang mọi người xích lại gần nhau.",2024-12-02 15:05:43.066442,2
27,CLASSIC PHIN FREEZE,55000,images/products/HLC_New_logo_5.1_Products__CLASSIC_FREEZE_PHINDI.jpg,"Thơm ngon đậm đà! Được kết hợp từ cà phê pha Phin truyền thống chỉ có tại Highlands Coffee, cùng với thạch cà phê và đá xay mát lạnh. Trên cùng là lớp kem tươi thơm béo và bột ca cao đậm đà. Món nước hoàn hảo để khởi đầu câu chuyện cùng bạn bè.",2024-12-02 15:05:43.066442,2
28,FREEZE TRÀ XANH,55000,images/products/HLC_New_logo_5.1_Products__FREEZE_TRA_XANH.jpg,"Thức uống rất được ưa chuộng! Trà xanh thượng hạng từ cao nguyên Việt Nam, kết hợp cùng đá xay, thạch trà dai dai, thơm ngon và một lớp kem dày phủ lên trên vô cùng hấp dẫn. Freeze Trà Xanh thơm ngon, mát lạnh, chinh phục bất cứ ai!",2024-12-02 15:05:43.066442,2
29,TRÀ THẠCH VẢI,45000,images/products/HLC_New_logo_5.1_Products__TRA_TACH_VAI.jpg,"Một sự kết hợp thú vị giữa trà đen, những quả vải thơm ngon và thạch giòn khó cưỡng, mang đến thức uống tuyệt hảo!",2024-12-02 15:05:43.066442,3
30,TRÀ SEN VÀNG (CỦ NĂNG),45000,images/products/HLC_New_logo_5.1_Products__TRA_SEN_VANG_CU_NANG.jpg,"Thức uống chinh phục những thực khách khó tính! Sự kết hợp độc đáo giữa trà Ô long, hạt sen thơm bùi và củ năng giòn tan. Thêm vào chút sữa sẽ để vị thêm ngọt ngào.",2024-12-02 15:05:43.066442,3
31,TRÀ SEN VÀNG (SEN),45000,images/products/HLC_New_logo_5.1_Products__TSV.jpg,,2024-12-02 15:05:43.066442,3
32,TRÀ XANH ĐẬU ĐỎ,45000,images/products/HLC_New_logo_5.1_Products__TRA_XANH_DAU_DO.jpg,,2024-12-02 15:05:43.066442,3
33,TRÀ THẠCH ĐÀO,45000,images/products/HLC_New_logo_5.1_Products__TRA_THANH_DAO-09.jpg,Vị trà đậm đà kết hợp cùng những miếng đào thơm ngon mọng nước cùng thạch đào giòn dai. Thêm vào ít sữa để gia tăng vị béo.,2024-12-02 15:05:43.066442,3
34,TRÀ THANH ĐÀO,45000,images/products/HLC_New_logo_5.1_Products__TRA_THANH_DAO-08.jpg,"Một trải nghiệm thú vị khác! Sự hài hòa giữa vị trà cao cấp, vị sả thanh mát và những miếng đào thơm ngon mọng nước sẽ mang đến cho bạn một thức uống tuyệt vời.",2024-12-02 15:05:43.066442,3
35,SET TRÀ CAO CẤP (TÙY CHỌN TRÀ),128790,images/products/Hot_Tea_Set.jpg,,2024-12-02 15:05:43.066442,3
36,TRÀ QUẢ MỌNG ANH ĐÀO,79000,images/products/Tra_Qua_Mong_Anh_Dao.jpg,,2024-12-02 15:05:43.066442,3
37,TRÀ ỔI HỒNG,79000,images/products/Tra_Oi_Hong.jpg,,2024-12-02 15:05:43.066442,3
38,BÁNH CARAMEL PHÔ MAI,35000,images/products/CARAMELPHOMAI.jpg,Ngon khó cưỡng! Bánh phô mai thơm béo được phủ bằng lớp caramel ngọt ngào.,2024-12-02 15:05:43.066442,4
39,BÁNH TIRAMISU,35000,images/products/TIRAMISU.jpg,"Tiramisu thơm béo, làm từ ca-cao Việt Nam đậm đà, kết hợp với phô mai ít béo, vani và chút rum nhẹ nhàng.",2024-12-02 15:05:43.066442,4
40,BÁNH CHUỐI,29000,images/products/BANHCHUOI.jpg,"Bánh chuối truyền thống, sự kết hợp của 100% chuối tươi và nước cốt dừa Việt Nam.",2024-12-02 15:05:43.066442,4
41,BÁNH MOUSSE CACAO,35000,images/products/MOUSSECACAO.png,"Bánh Mousse Ca Cao, là sự kết hợp giữa ca-cao Việt Nam đậm đà cùng kem tươi.",2024-12-02 15:05:43.066442,4
42,BÁNH MOUSSE ĐÀO,35000,images/products/MOUSSEDAO.png,"Một sự kết hợp khéo léo giữa kem và lớp bánh mềm, được phủ lên trên vài lát đào ngon tuyệt.",2024-12-02 15:05:43.066442,4
43,BÁNH SÔ-CÔ-LA HIGHLANDS,35000,images/products/SOCOLAHL.png,"Một chiếc bánh độc đáo! Sô cô la ngọt ngào và kem tươi béo ngậy, được phủ thêm một lớp sô cô la mỏng bên trên cho thêm phần hấp dẫn.",2024-12-02 15:05:43.066442,4
44,BÁNH PHÔ MAI CÀ PHÊ,29000,images/products/PHOMAICAPHE.jpg,"Làm từ cà phê truyền thống của Highlands, kết hợp với phô mai thơm ngon! Chiếc bánh phù hợp đi cùng với bất cứ món cà phê nào!",2024-12-02 15:05:43.066442,4
45,BÁNH PHÔ MAI CHANH DÂY,29000,images/products/PHOMAICHANHDAY.jpg,"Vị béo của phô mai cùng với vị chua của chanh dây, tạo nên chiếc bánh thơm ngon hấp dẫn!",2024-12-02 15:05:43.066442,4
46,BÁNH PHÔ MAI TRÀ XANH,35000,images/products/PHOMAITRAXANH.jpg,"Một sự sáng tạo mới mẻ, kết hợp giữa trà xanh đậm đà và phô mai ít béo.",2024-12-02 15:05:43.066442,4
